BARRIS,PRECIO_ALQUILER,PRECIO_VENTA,EUROS_ANY,POBLACIÓ,DENSITAT_NETA_HABHA,ACTIVITATS_CONSTRUCCIÓ,ACTIVITATS_TRANSPORT,ACTIVITATS_TRANSPORT_EMMAGATZEMATGE,ACTIVITATS_EMMAGATZEMATGE,ACTIVITATS_IMMOBILIÀRIES,ACTIVITATS_INDUSTRIALS,ADMINISTRACIÓ,AGÈNCIES_VIATGE,ALTRES,VENDING,ALTRES_EQUIPAMENTS_ESPORTIUS,APARELLS_DOMÈSTICS,ARRANJAMENTS,ARTS_GRÀFIQUES,ASSOCIACIONS,AUTOSERVEI_SUPERMERCAT,BARS_CIBERCAFÈ,BARS_ESPECIALS_AMB_ACTUACIÓ_BARS_MUSICALS_DISCOTEQUES_PUB,BASARS,BEGUDES,CALÇAT_PELL,CARN_PORC,CENTRES_DESTÈTICA,COMBUSTIBLES_CARBURANTS,DROGUERIA_PERFUMERIA,EN_REFORMA,ENSENYAMENT,EQUIPAMENTS_CULTURALS_RECREATIUS,EQUIPAMENTS_RELIGIOSOS,ESPORTS,FABRICACIÓ_TÈXTIL,FARMÀCIES_PARAFARMÀCIA,FINANCES_ASSEGURANCES,FLORISTERIES,FOTOGRAFIA,FRUITES_VERDURES,GIMNÀS_FITNES,GRANS_MAGATZEMS_HIPERMERCATS,HERBOLARIS_DIETÈTICA_NUTRICIÓ,INFORMÀTICA,JOGUINES_ESPORTS,JOIERIA_RELLOTGERIA_BIJUTERIA,LLIBRES_DIARIS_REVISTES,LOCALS_BUITS_EN_LLOGUER,LOCALS_BUITS_EN_VENDA,LOCALS_BUITS_EN_VENDA_LLOGUER,LOCUTORIS,MANTENIMENT_NETEJA_SIMILARS,MAQUINÀRIA,MATERIAL_EQUIPAMENT_LLAR,MERCERIA,MOBLES_ARTICLES_FUSTA_METALL,MÚSICA,OUS_AUS,PA_PASTISSERIA_LÀCTICS,PARAMENT_FERRETERIA,PEIX_MARISC,PERRUQUERIES,PLATS_PREPARATS_NO_DEGUSTACIÓ,PÀRQUINGS_GARATGES,REPARACIONS_ELECTRODOMÈSTICS_AUTOMÒBILS,RESTAURANTS,SANITAT_ASSISTÈNCIA,SEGELLS_MONEDES_ANTIGUITATS,SENSE_INFORMACIÓ,SENSE_INFORMACIÓ_HAVIA_TINGUT_ACTIVITAT_RÈTOL,SERVEIS_SOCIALS,SERVEIS_A_LES_EMPRESES_OFICINES,SERVEIS_MENJAR_TAKE_AWAY_MENJAR_RÀPID,SERVEIS_TELECOMUNICACIONS,SOUVENIRS,TABAC_ARTICLES_FUMADORS,TINTORERIES,VEHICLES,VESTIR,VETERINARIS_MASCOTES,XOCOLATERIES_GELADERIES_DEGUSTACIÓ,SERVEIS_DALLOTJAMENT,SERVEIS_MENJAR_BEGUDES,ÒPTIQUES
Montbau,,,19170,5071,447,5,0,0,0,2,0,1,1,4,0,4,0,1,0,3,4,0,0,0,0,0,1,1,0,0,0,10,2,3,0,0,5,4,0,0,1,0,0,1,0,0,0,1,1,4,0,0,1,0,0,1,0,0,0,4,0,0,4,0,0,1,16,12,0,46,11,1,0,0,0,0,1,1,0,0,1,0,0,0,0
la Vall d'Hebron,,,22778,5882,813,2,2,0,1,2,4,2,0,0,0,7,0,0,2,2,4,0,0,2,0,0,0,1,0,0,1,8,4,2,0,0,2,3,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,3,1,0,3,0,0,3,12,3,0,18,8,1,21,0,0,1,1,0,0,0,1,0,1,0,1
la Clota,,,19442,689,114,5,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Horta,795.0,1.729,19947,27707,439,39,0,0,23,14,1,6,1,50,0,4,3,9,3,12,24,70,1,6,1,10,26,14,2,16,4,32,14,7,0,2,19,12,3,5,22,4,0,12,11,5,6,6,19,2,7,1,5,1,10,3,15,2,11,21,5,14,47,2,4,17,24,27,0,257,63,22,21,9,2,0,5,6,0,51,10,0,3,0,6
Vilapicina i la Torre Llobeta,822.0,1.795,19414,25674,875,41,3,0,24,14,14,0,2,11,0,6,3,17,11,4,35,9,0,11,6,9,10,21,0,8,9,42,9,3,0,0,15,21,2,1,10,3,0,9,14,6,7,5,36,10,16,7,6,0,22,2,14,0,0,24,5,2,69,0,8,40,101,38,0,302,90,10,40,7,1,0,5,8,11,24,9,0,1,0,5
Porta,871.0,1.768,16964,27418,768,37,4,0,17,7,15,2,4,26,0,6,1,15,6,11,30,57,1,6,4,11,11,12,1,7,10,31,10,6,0,0,14,14,3,0,16,4,1,5,13,4,12,5,26,11,12,4,8,0,15,1,10,1,0,18,4,2,58,5,2,27,31,19,0,198,138,7,52,12,3,0,4,4,4,33,6,1,3,0,6
el Turó de la Peira,887.0,1.572,14545,16025,1204,15,1,0,10,9,2,2,2,25,0,2,0,6,1,8,13,3,1,1,1,6,32,6,0,9,5,10,2,5,0,0,6,4,2,1,21,1,0,5,4,1,6,0,9,2,1,6,0,1,4,3,2,0,7,15,2,15,30,0,0,7,47,13,0,160,29,2,14,1,0,0,2,5,0,17,3,0,0,0,2
Can Peguera,,,12738,2204,359,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la Guineueta,766.0,,18932,15189,689,6,0,0,6,2,0,14,0,16,0,3,0,3,2,7,11,0,0,4,2,1,12,5,1,1,4,18,4,4,0,0,10,7,1,0,7,0,0,2,1,3,3,3,9,1,2,0,2,1,2,1,0,0,4,6,2,6,17,0,1,7,41,19,0,146,24,4,18,3,2,0,2,2,2,5,4,0,0,0,0
Canyelles,,,17878,6797,620,1,0,0,1,1,0,0,0,8,0,0,0,0,1,1,5,1,0,1,0,1,8,1,1,1,0,5,2,3,0,0,4,3,0,0,5,1,0,1,0,0,0,0,2,3,2,0,1,0,0,0,0,0,3,3,1,3,5,0,0,5,16,1,0,56,6,3,2,1,0,0,2,1,1,1,1,0,0,0,0
les Roquetes,722.0,1.499,13014,16373,897,17,0,0,8,3,0,0,0,14,0,1,0,1,1,1,18,0,0,7,1,0,25,5,0,3,6,8,7,2,0,0,8,8,2,0,21,1,0,3,2,0,1,1,7,17,7,4,0,0,4,1,1,0,4,8,1,11,17,0,0,13,39,6,0,243,30,2,10,4,0,0,2,2,0,6,3,0,0,0,0
Verdun,864.0,1.471,14267,12727,894,20,2,0,12,7,7,1,4,3,0,2,3,8,3,5,22,9,0,8,2,6,6,11,1,9,6,15,3,5,0,1,7,12,1,0,8,0,0,1,4,1,4,2,23,8,6,4,1,1,17,3,7,0,0,16,4,2,27,0,0,13,37,9,0,152,67,3,8,4,0,0,3,3,1,26,4,0,0,0,5
la Prosperitat,786.0,1.385,15799,26669,985,58,2,0,25,13,8,0,4,22,0,2,5,11,6,15,41,77,1,10,1,8,13,23,0,8,7,21,8,7,0,1,13,15,3,1,17,7,0,7,8,7,4,3,34,26,10,4,4,1,15,2,5,0,1,20,3,1,61,5,2,33,44,23,1,58,141,6,32,9,3,0,6,9,2,22,5,0,0,0,6
la Trinitat Nova,,,12205,7507,598,5,1,0,1,0,0,4,0,6,0,0,0,0,1,2,4,1,0,0,0,0,5,0,0,1,1,4,4,2,0,0,4,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,3,0,4,5,0,0,2,10,4,0,31,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Torre Baró,,,11455,2890,136,2,0,0,1,0,0,3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
